LinkRef,LinkDescription,StartJunction,EndJunction,StartX,StartY,EndX,EndY
AL2702,A45 between A46 and A423 (AL2702),A46,A423,436491,275714,437163,275177
AL2705,A46 between A45 and A428 (AL2705),A45,A428,436416,275743,438751,277673
AL2706,A46 between A428 and A45 (AL2706),A428,A45,438800,277716,436489,275721
AL2710,A46 between M6 J2 and A428 (AL2710),M6 J2,A428,438896,282287,438800,277716
AL2713,A46 between A428 and M6 J2 (AL2713),A428,M6 J2,438751,277673,438839,282271
AL272,A14 between A134 and A143 (AL272),A134,A143,586752,263603,585689,265314
AL2721,A45 between A445 and A423 (AL2721),A445,A423,439140,274161,437081,275193
AL2722,A45 between A423 and A445 (AL2722),A423,A445,437163,275177,439164,274184
AL2725,A45 between A445 and A4071 (AL2725),A445,A4071,439164,274184,445326,271961
AL2726A,A45 between A4071 and A445 (AL2726A),A4071,A445,445197,271988,439140,274161
AL2728,A45 between M45 J1 and A471 (AL2728),M45 J1,A471,446551,271447,445197,271988
AL2729,A45 between A471 and M45 J1 (AL2729),A471,M45 J1,445326,271961,446547,271512
AL2731,A46 between A439 and A3400 (AL2731),A439,A3400,423905,260541,418868,256943
AL2733,A46 between A439 and M40 J15 (AL2733),A439,M40 J15,423869,260520,426353,262500
AL2734,A46 between M40 J15 and A439 (AL2734),M40 J15,A439,426567,262585,423905,260541
AL2738,A46 between A429 and A4177 (AL2738),A429,A4177,429188,267876,426743,265885
AL2739,A46 between A4177 and M40 J15 (AL2739),A4177,M40 J15,426743,265885,426567,262585
AL2740,A46 between M40 J15 and A4177 (AL2740),M40 J15,A4177,426353,262500,426708,265813
AL278,A14 between A1101 and A143 (AL278),A1101,A143,585281,265416,585562,265399
AL2781,A5 between A43 and A508 (AL2781),A43,A508,468753,249549,477523,241556
AL2783,A5 between A422 and A508 (AL2783),A422,A508,482169,239395,477625,241486
AL2784,A5 between A508 and A422 (AL2784),A508,A422,477523,241556,481995,239465
AL2786,A5 between A421 and A509 (AL2786),A421,A509,486692,235561,483687,238315
AL279,A14 between A143 and A1101 (AL279),A143,A1101,585689,265314,585288,265399
AL2793,A5 between A4146 and A4146 (AL2793),A4146,A4146,489357,233455,488548,235157
AL2795,A5 between A4146 and A4146 (AL2795),A4146,A4146,488558,235171,489307,233577
AL281,A14 between A1302 and A11 (AL281),A1302,A11,582677,265420,566932,266519
AL282,A14 between A11 and A1302 (AL282),A11,A1302,567116,266639,582523,265457
AL283,A14 between A1302 and A1101 (AL283),A1302,A1101,582523,265457,585281,265416
AL284,A14 between A1101 and A1302 (AL284),A1101,A1302,585288,265399,582677,265420
AL2844,A11 between M11 and A505 (AL2844),M11,A505,550402,244218,551826,249254
AL2845,A11 between A505 and M11 (AL2845),A505,M11,551860,249339,550415,244211
AL2846,A11 between A1307 and A1304 (AL2846),A1307,A1304,552213,250188,557071,255955
AL2847,A11 between A1304 and A1307 (AL2847),A1304,A1307,557173,256149,552271,250274
AL2849,A14 between A1303 and A1309 (AL2849),A1303,A1309,551553,259647,547021,262099
AL2850,A14 between A1309 and A1303 (AL2850),A1309,A1303,546907,262132,551435,259644
AL2851A,A14 between A11 and A1303 (AL2851A),A11,A1303,558086,260315,557801,260128
AL2851B,A14 between A1303 Westbound and A1303 Westbound (AL2851B),A1303 Westbound,A1303 Westbound,557801,260128,551553,259647
AL2852A,A14 between A1303 and A11 (AL2852A),A1303,A11,557790,260134,558100,260340
AL2852B,A14 between A1303 Eastbound and A1303 Eastbound (AL2852B),A1303 Eastbound,A1303 Eastbound,551435,259644,557790,260134
AL2853,A14 between A14 J31 and A1309 (AL2853),A14 J31,A1309,541861,261298,546907,262132
AL286,A14 between A11 and A142 (AL286),A11,A142,558100,260340,563400,265987
AL2861,A14 between M11 and A14 J31 (AL2861),M11,A14 J31,540620,262256,541861,261298
AL2862,A14 between A14 J31 and M11 (AL2862),A14 J31,M11,541858,261285,540628,262228
AL2864,A14 between A14 J31 and M11 J14 (AL2864),A14 J31,M11 J14,541858,261285,541531,261179
AL2865,A14 between M11 J14 and A14 J31 (AL2865),M11 J14,A14 J31,541509,261185,541861,261298
AL2869,A14 between A1126 and A1198 (AL2869),A1126,A1198,522120,272916,525525,270557
AL2870,A14 between A1198 and A1126 (AL2870),A1198,A1126,525595,270519,522191,272849
AL2871,A14 between A1198 and A1096 (AL2871),A1198,A1096,525525,270557,530249,268899
AL2872,A14 between A1096 and A1198 (AL2872),A1096,A1198,530246,268886,525595,270519
AL2878,A14 between A14 J21 and A1126 (AL2878),A14 J21,A1126,519352,271986,522120,272916
AL2879,A14 between A1126 and A14 J21 (AL2879),A1126,A14 J21,522191,272849,519527,271917
AL288,A14 between A142 and A11 (AL288),A142,A11,563414,265975,558086,260315
AL2881,A14 between A14 and A14(M) (AL2881),A14,A14(M),522191,272849,519888,276010
AL2883,A14 between A14(M) and A14 (AL2883),A14(M),A14,519907,276006,522120,272916
AL2884,A1 between A1(M) J14 and A14 J21 (AL2884),A1(M) J14,A14 J21,518930,275088,519442,271996
AL2895,A14 between A6 and A43 (AL2895),A6,A43,481540,280582,484835,279616
AL2907,A45 between A508 and M1J15 (AL2907),A508,M1J15,475694,258015,475610,254738
AL2909,A45 between A428 and A508 (AL2909),A428,A508,477364,259748,475694,258015
AL291,A14 between A11 and A142 (AL291),A11,A142,566932,266519,563414,265975
AL2910,A45 between M1J15 and A508 (AL2910),M1J15,A508,475607,254767,475616,257895
AL2917,A45 between A5076 and A43 (AL2917),A5076,A43,481501,262129,479568,261423
AL2918,A45 between A43 and A5076 (AL2918),A43,A5076,479471,261368,481425,262096
AL292,A14 between A142 and A11 (AL292),A142,A11,563400,265987,567116,266639
AL2922,A45 between A509 and A509 (AL2922),A509,A509,489739,266329,488069,265835
AL2924,A45 between A509 and A5076 (AL2924),A509,A5076,488069,265835,481501,262129
AL2925,A45 between A5076 and A509 (AL2925),A5076,A509,481425,262096,487983,265845
AL2930,A45 between A45 and A5028 (AL2930),A45,A5028,493184,267270,494390,267914
AL2931,A45 between A5028 and A6 (AL2931),A5028,A6,494390,267914,495930,269983
AL2932,A45 between A6 and A5028 (AL2932),A6,A5028,496001,270002,494445,267907
AL2940,,,,,,,
AL2941,,,,,,,
AL2942,A421 between A603 and A600 (AL2942),A603,A600,508306,248533,507299,247757
AL2944A,A421 between A428 and A603 (AL2944A),A428,A603,510587,251613,508306,248533
AL2945A,A421 between A603 and A428 (AL2945A),A603,A428,508239,248469,510541,251588
AL2948,A1 between A6001 and A6001 (AL2948),A6001,A6001,518339,245198,520511,242962
AL2949,A1 between A1(M) J10 and A6001 (AL2949),A1(M) J10,A6001,523160,236842,520523,242906
AL2950,A1 between A6001 and A1(M) J10 (AL2950),A6001,A1(M) J10,520511,242962,523192,236833
AL2953,A1 between A6001 and A603 (AL2953),A6001,A603,518321,245138,516523,249035
AL2954,A1 between A603 and A6001 (AL2954),A603,A6001,516526,249086,518339,245198
AL2958,A1 between A603 and A421 (AL2958),A603,A421,516523,249035,515965,255404
AL2959,A1 between A421 and A603 (AL2959),A421,A603,516010,255432,516526,249086
AL2962,A1 between A421 and A1 (AL2962),A421,A1,515969,255448,516608,257668
AL2967,A1 between A1 and A421 (AL2967),A1,A421,516596,258099,516010,255432
AL2969,A1 between A428 and A14 J21 (AL2969),A428,A14 J21,516608,257668,519443,271906
AL2974,A63 between A1165 and A1079 (AL2974),A1165,A1079,510737,428796,509376,428412
AL2976A,A50 between A522 and A521 (AL2976A),A522,A521,407607,334778,396361,340518
AL2976B,A50 between A518 and A522 (AL2976B),A518,A522,408704,334715,407607,334778
AL2979,A38 between A6 and A61 (AL2979),A6,A61,434975,339314,436366,340003
AL298,A14 between A1309 and A14 J31 (AL298),A1309,A14 J31,547021,262099,541858,261285
AL2983,A42 between A511 and A453 (AL2983),A511,A453,437379,316954,442568,322524
AL2986,A5036 between A567 and A565 (AL2986),A567,A565,333480,397236,332633,396912
AL2987,A1 between A14 J21 and A1(M) J14 (AL2987),A14 J21,A1(M) J14,519443,271906,518911,275088
AL2989A,A30 between A382 and A377 (AL2989A),A382,A377,269615,92902,290992,90248
AL2990,A38 between A380 and A382 (AL2990),A380,A382,290977,84256,282980,75290
AL2991,A38 between A382 and A380 (AL2991),A382,A380,282878,75201,290970,84270
AL2992,A249 between A2 and M2 J5 (AL2992),A2,M2 J5,588087,164240,585584,162346
AL2993,A27 between A285 and A259 (AL2993),A285,A259,487803,105442,487804,104164
AL2996,A14 between A508 and A5199 (AL2996),A508,A5199,473840,278524,465990,278033
AL2997,A45 between A509 and A509 (AL2997),A509,A509,487983,265845,489736,266340
AL2998,A11 between A1101 and A14 (AL2998),A1101,A14,572842,274170,566611,266315
AL3002,A56 between A679 and A680 (AL3002),A679,A680,378219,430226,378559,425290
AL3003,A56 between A679 and M65 J8 (AL3003),A679,M65 J8,378205,430232,378375,431705
AL3004,A56 between A680 and A679 (AL3004),A680,A679,378487,425253,378205,430232
AL3005,A56 between M65 J8 and A679 (AL3005),M65 J8,A679,378372,431727,378219,430226
AL3007,A56 between A680 and A6177 (AL3007),A680,A6177,378559,425290,378181,422629
AL3008,A56 between A6177 and A680 (AL3008),A6177,A680,378170,422624,378487,425253
AL3009,A56 between A6177 and A681 (AL3009),A6177,A681,378181,422629,378867,422042
AL3010,A56 between A681 and A6177 (AL3010),A681,A6177,379019,421948,378170,422624
AL3011,A56 between A680 and A681 (AL3011),A680,A681,379428,421984,379019,421948
AL3012,A56 between M66 and A682 (AL3012),M66,A682,379520,418936,379854,421500
AL3013,A56 between A682 and M66 (AL3013),A682,M66,379882,421443,379540,418918
AL3014,A56 between A682 and A680 (AL3014),A682,A680,379854,421500,379428,421984
AL3015,A56 between A680 and A682 (AL3015),A680,A682,379348,421971,379882,421443
AL3016,A56 between A681 and A680 (AL3016),A681,A680,378867,422042,379348,421971
AL3017B,A66 between A685 and A67 (AL3017B),A685,A67,379465,514400,399520,513768
AL3017D,A66 between A6 and A685 (AL3017D),A6,A685,352114,529101,379465,514400
AL3017E,A66 between A67 and A6108 (AL3017E),A67,A6108,399520,513768,421606,505334
AL3018B,A66 between A67 and A685 (AL3018B),A67,A685,399520,513768,379467,514386
AL3018D,A66 between A685 and A6 (AL3018D),A685,A6,379467,514386,352263,529112
AL3018E,A66 between A6108 and A67 (AL3018E),A6108,A67,421592,505250,399520,513768
AL3019,A66 between A167 and A66(M) (AL3019),A167,A66(M),427888,512609,426835,512763
AL301A,A11 between A1304 and A14 (AL301A),A1304,A14,557071,255955,558622,261016
AL3020,A66 between A66(M) and A167 (AL3020),A66(M),A167,426854,512810,427828,512612
AL3024,,,,,,,
AL3025,,,,,,,
AL302A,A11 between A14 and A1304 (AL302A),A14,A1304,558381,260599,557173,256149
AL3043,A303 between A344 and A360 (AL3043),A344,A360,412775,142062,409981,141416
AL3044,A303 between A36 and A360 (AL3044),A36,A360,401138,138345,409919,141437
AL3045,A303 between A360 and A36 (AL3045),A360,A36,409981,141416,401175,138356
AL3046,A303 between A359 and A372 (AL3046),A359,A372,359873,125887,353651,125033
AL3047,A303 between A372 and A359 (AL3047),A372,A359,353499,125107,359827,125846
AL3048,A303 between A360 and A344 (AL3048),A360,A344,409919,141437,412775,142062
AL3049,A303 between A344 and A345 (AL3049),A344,A345,412775,142062,415345,142061
AL3050,A303 between A345 and A344 (AL3050),A345,A344,415444,142001,412775,142062
AL3051,A303 between A36 and A350 (AL3051),A36,A350,401175,138356,388485,133985
AL3052,A303 between A350 and A36 (AL3052),A350,A36,388485,133985,401138,138345
AL3053,A303 between A371 and A350 (AL3053),A371,A350,371000,127790,388485,133985
AL3054,A303 between A350 and A371 (AL3054),A350,A371,388485,133985,371224,127816
AL3058,A303 between A356 and A358 (AL3058),A356,A358,345775,117030,334339,115354
AL3059,A303 between A358 and A356 (AL3059),A358,A356,334271,115298,345768,117039
AL3060,A30 between A303 and A35 (AL3060),A303,A35,321825,107537,317289,101370
AL3061,A303 between A30 and A358 (AL3061),A30,A358,321825,107537,334271,115298
AL3062,A303 between A358 and A30 (AL3062),A358,A30,334339,115354,321825,107537
AL3063,A30 between A35 and A303 (AL3063),A35,A303,317346,101457,321825,107537
AL3064,A35 between A30 and A35 (AL3064),A30,A35,317289,101370,316741,100871
AL3064A,A35 between A35 and A30 (AL3064A),A35,A30,316736,100862,317289,101370
AL3067,A38 between A390 and A374 (AL3067),A390,A374,226003,63954,232996,59021
AL3068A,A38 between A388 and A374 (AL3068A),A388,A374,241401,60049,233035,58995
AL3069A,A38 between A374 and A388 (AL3069A),A374,A388,232996,59021,241355,60068
AL307,A11 between A505 and A1307 (AL307),A505,A1307,551826,249254,552213,250188
AL3070,A38 between A388 and A3064 (AL3070),A388,A3064,241355,60068,246374,58625
AL3071,A38 between A3064 and A388 (AL3071),A3064,A388,246367,58617,241401,60049
AL3072A,A38 between A390 and A30 (AL3072A),A390,A30,220817,65146,208917,65665
AL3073A,A38 between A30 and A390 (AL3073A),A30,A390,208917,65665,220760,65140
AL3074A,A38 between A390 and A390 (AL3074A),A390,A390,220760,65140,226003,63954
AL3075,A38 between A374 and A390 (AL3075),A374,A390,233035,58995,226147,63749
AL3076A,A38 between A390 and A390 (AL3076A),A390,A390,226147,63749,220817,65146
AL3077,A30 between A38 and A395 (AL3077),A38,A395,208613,67987,228860,83074
AL3079,A30 between A395 and A38 (AL3079),A395,A38,228782,82987,208628,67992
AL308,A11 between A1307 and A505 (AL308),A1307,A505,552271,250274,551860,249339
AL3081,A30 between A3074 and A394 (AL3081),A3074,A394,154475,36122,150652,31882
AL3082,A30 between A394 and A3074 (AL3082),A394,A3074,150628,31878,154350,36119
AL3083,A30 between A3074 and A3047 (AL3083),A3074,A3047,154350,36119,163275,40547
AL3084,A30 between A39 and A3075 (AL3084),A39,A3075,184705,53982,174781,46963
AL3085,A30 between A3075 and A39 (AL3085),A3075,A39,174731,46917,184650,53952
AL3086A,A30 between A39 and A391 (AL3086A),A39,A391,192412,59111,203040,62991
AL3087A,A30 between A391 and A39 (AL3087A),A391,A39,203045,62978,192420,59103
AL3088,A30 between A39 and A3058 (AL3088),A39,A3058,192420,59103,189567,56745
AL3089,A30 between A3058 and A39 (AL3089),A3058,A39,189590,56769,192412,59111
AL3090,A35 between A35 and A358 (AL3090),A35,A358,316741,100871,329216,97241
AL3091,A35 between A358 and A35 (AL3091),A358,A35,329216,97241,316736,100862
AL3092,A35 between A3052 and A358 (AL3092),A3052,A358,335581,93891,329216,97241
AL3093,A35 between A358 and A3052 (AL3093),A358,A3052,329216,97241,335545,93920
AL3094,A35 between A3052 and A3066 (AL3094),A3052,A3066,335545,93920,347134,92841
AL3095,A35 between A3066 and A3052 (AL3095),A3066,A3052,347157,92844,335581,93891
AL3096,A35 between A37 and A3066 (AL3096),A37,A3066,366718,90342,347157,92844
AL3097,A35 between A3066 and A37 (AL3097),A3066,A37,347134,92841,366684,90375
AL3098,A35 between A354 and A37 (AL3098),A354,A37,368532,89012,366718,90342
AL3099,A35 between A37 and A354 (AL3099),A37,A354,366684,90375,368509,89044
AL31,A34 between A272 and A33 (AL31),A272,A33,446306,133783,449358,131630
AL3100,A35 between A352 and A354 (AL3100),A352,A354,370244,89717,368532,89012
AL3101,A35 between A354 and A352 (AL3101),A354,A352,368509,89044,370244,89717
AL3102,A35 between A352 and A354 (AL3102),A352,A354,370244,89717,375976,95013
AL3103,A35 between A354 and A352 (AL3103),A354,A352,375973,95004,370244,89717
AL3104,A35 between A354 and A31 (AL3104),A354,A31,375976,95013,385147,95301
AL3105,A35 between A31 and A354 (AL3105),A31,A354,385171,95295,375973,95004
AL3106,A31 between A350 and A35 (AL3106),A350,A35,394993,98566,385171,95295
AL3107,A31 between A35 and A350 (AL3107),A35,A350,385147,95301,394906,98606
AL3108,A31 between A349 and A350 (AL3108),A349,A350,401586,98593,394993,98566
AL3109,A31 between A350 and A349 (AL3109),A350,A349,394906,98606,401567,98604
AL311,A47 between A140 and A11 (AL311),A140,A11,621998,303982,618451,305438
AL3110,A31 between A349 and A348 (AL3110),A349,A348,401567,98604,409081,101536
AL3111,A31 between A348 and A349 (AL3111),A348,A349,409114,101508,401586,98593
AL3112,A27 between A259 and A285 (AL3112),A259,A285,487769,104122,487743,105410
AL3113A,A27 between A286 and A259 (AL3113A),A286,A259,485748,103806,484707,104368
AL3113B,A27 between A259 and A286 (AL3113B),A259,A286,487804,104164,485748,103806
AL3114,A27 between A286 and A259 (AL3114),A286,A259,485703,103868,487769,104122
AL3115,A27 between A280 and A24 (AL3115),A280,A24,509095,105503,513231,105602
AL3116,A27 between A24 and A280 (AL3116),A24,A280,513284,105577,509098,105490
AL3117,A24 between A27 and A27 (AL3117),A27,A27,514126,104937,513284,105577
AL3118,A24 between A27 and A27 (AL3118),A27,A27,513231,105602,514050,104995
AL3119,A27 between A2025 and A24 (AL3119),A2025,A24,518589,105493,514126,104937
AL312,A47 between A11 and A140 (AL312),A11,A140,618398,305538,621901,303935
AL3120,A27 between A24 and A2025 (AL3120),A24,A2025,514050,104995,518548,105484
AL3121,A26 between A259 and A27 (AL3121),A259,A27,544982,101619,544574,108027
AL3122,A26 between A27 and A259 (AL3122),A27,A259,544604,108028,544982,101619
AL3123,A27 between A26 and A26 (AL3123),A26,A26,544604,108028,542611,109172
AL3124,A27 between A26 and A26 (AL3124),A26,A26,542549,109198,544569,108057
AL3125,A27 between A22 and A2270 (AL3125),A22,A2270,557799,105562,557802,104722
AL3128B,A27 between A259 and A22 (AL3128B),A259,A22,565124,105111,560360,104755
AL3129,A27 between A22 and A259 (AL3129),A22,A259,560339,104770,565071,105134
AL3130,A259 between A259 and A269 (AL3130),A259,A269,565071,105134,573855,108037
AL3131,A259 between A269 and A259 (AL3131),A269,A259,573855,108024,565124,105111
AL3132,A259 between A269 and A269 (AL3132),A269,A269,573855,108037,575082,108052
AL3133,A259 between A269 and A269 (AL3133),A269,A269,575082,108052,573855,108024
AL3134,A259 between A2036 and A269 (AL3134),A2036,A269,576320,108065,575082,108052
AL3135,A259 between A269 and A2036 (AL3135),A269,A2036,575082,108052,576303,108094
AL3136,A259 between A2036 and A259 (AL3136),A2036,A259,576303,108094,576461,107975
AL3137,A259 between A259 and A2036 (AL3137),A259,A2036,576461,107975,576320,108065
AL3142,A21 between A28 and A2100 (AL3142),A28,A2100,579775,113151,574503,121040
AL3143,A21 between A2100 and A28 (AL3143),A2100,A28,574503,121040,579775,113151
AL3144,A21 between A228 and A2014 (AL3144),A228,A2014,561553,140768,559661,144835
AL3145,A21 between A262 and A228 (AL3145),A262,A228,567661,137438,561553,140768
AL3146,A21 between A228 and A262 (AL3146),A228,A262,561572,140770,567661,137438
AL3147,A21 between A2014 and A228 (AL3147),A2014,A228,559393,144874,561572,140770
AL3148A,A21 between A268 and A262 (AL3148A),A268,A262,571510,131201,567661,137438
AL3149A,A21 between A262 and A268 (AL3149A),A262,A268,567661,137438,571510,131201
AL315,A47 between A146 and A140 (AL315),A146,A140,625047,306234,621998,303982
AL3150,A21 between A229 and A268 (AL3150),A229,A268,573269,127932,571510,131201
AL3151,A21 between A229 and A265 (AL3151),A229,A265,573269,127932,573360,127192
AL3152,A21 between A2100 and A265 (AL3152),A2100,A265,574503,121040,573360,127192
AL3153,A21 between A265 and A2100 (AL3153),A265,A2100,573360,127192,574503,121040
AL3154,A23 between M23 J7 and A23 (AL3154),M23 J7,A23,528672,155054,529100,157590
AL3155,A23 between A23 and M23 J7 (AL3155),A23,M23 J7,529100,157590,528768,155375
AL3156,A259 between A259 and A268 (AL3156),A259,A268,584510,112624,591752,120278
AL3157,A259 between A268 and A268 (AL3157),A268,A268,591752,120278,592272,120628
AL3158,A259 between A2070 and A268 (AL3158),A2070,A268,600625,126973,592272,120628
AL3159,A259 between A268 and A2070 (AL3159),A268,A2070,592272,120628,600597,126963
AL316,A47 between A140 and A146 (AL316),A140,A146,621901,303935,625022,306228
AL3177,A20 between A256 and A20 (AL3177),A256,A20,632296,141437,631978,141229
AL3178,A20 between A20 and A256 (AL3178),A20,A256,631937,141218,632291,141445
AL3179,A2 between A20 and A258 (AL3179),A20,A258,632888,141588,633127,143560
AL3180,A20 between A256 and A2 (AL3180),A256,A2,632291,141445,632888,141588
AL3181,A20 between A2 and A256 (AL3181),A2,A256,632901,141579,632296,141437
AL3182,A2 between A258 and A20 (AL3182),A258,A20,633110,143629,632901,141579
AL3183,A2 between A258 and A256 (AL3183),A258,A256,633127,143560,631474,144561
AL3184,A2 between A256 and A258 (AL3184),A256,A258,631466,144574,633110,143629
AL3185,A2 between A256 and A260 (AL3185),A256,A260,630170,144632,622495,148891
AL3186,A2 between A260 and A256 (AL3186),A260,A256,622328,149176,630109,144622
AL3187A,A249 between A250 Southbound and A250 Southbound (AL3187A),A250 Southbound,A250 Southbound,591569,175060,591839,171849
AL3188A,A249 between A250 Northbound and A250 Northbound (AL3188A),A250 Northbound,A250 Northbound,591844,171830,591565,175071
AL3189,A120 between A136 and A133 (AL3189),A136,A133,623889,231727,609735,225096
AL319,A12 between A12 and A1118 (AL319),A12,A1118,654796,292821,654751,292672
AL3190,A120 between A133 and A136 (AL3190),A133,A136,609723,225111,623857,231754
AL3191,A47 between A1064 and A1042 (AL3191),A1064,A1042,640603,310323,629795,308530
AL3192,A47 between A1042 and A1064 (AL3192),A1042,A1064,629769,308539,640560,310336
AL3193,A12 between A1243 and A149 (AL3193),A1243,A149,651572,306552,651839,308460
AL3194,A12 between A149 and A1243 (AL3194),A149,A1243,651854,308482,651572,306613
AL3195,A12 between A1117 and A143 (AL3195),A1117,A143,653440,295940,652040,304945
AL3196,A12 between A143 and A1117 (AL3196),A143,A1117,652048,304948,653465,295982
AL3197,A12 between A1117 and A12 (AL3197),A1117,A12,653465,295982,655009,293717
AL3198,A12 between A12 and A1117 (AL3198),A12,A1117,654979,293703,653440,295940
AL3199A,A12 between A1144 and A12 (AL3199A),A1144,A12,654818,293689,654979,293703
AL3199B,A12 between A12 and A1144 (AL3199B),A12,A1144,654796,292821,654818,293689
AL3199C,A12 between A1144 and A12 (AL3199C),A1144,A12,654863,293701,654796,292821
AL32,A34 between A33 and A272 (AL32),A33,A272,449224,131761,446303,133765
AL3200A,A12 between A12 and A12 (AL3200A),A12,A12,655009,293717,654796,292821
AL3200B,A12 between A12 and A12 (AL3200B),A12,A12,654796,292821,655012,293673
AL3201,A12 between A1118 and A12 (AL3201),A1118,A12,654751,292672,654796,292821
AL3202A,A11 between A1075 and A47 (AL3202A),A1075,A47,589293,285323,618398,305538
AL3203A,A11 between A47 and A1075 (AL3203A),A47,A1075,618451,305438,589345,285323
AL3204,A11 between A1101 and A134 (AL3204),A1101,A134,572769,274112,585328,283159
AL3205,A11 between A134 and A1101 (AL3205),A134,A1101,585353,283207,572842,274170
AL3206,A47 between A1065 and A1075 (AL3206),A1065,A1075,581946,310160,599249,312219
AL3207,A47 between A10 and A1122 (AL3207),A10,A1122,563262,318175,578311,309910
AL3208,A47 between A1122 and A10 (AL3208),A1122,A10,578343,309847,563374,318095
AL3209,A47 between A1101 and A17 (AL3209),A1101,A17,547106,307817,560681,318688
AL320A,A12 between A12 and A1144 (AL320A),A12,A1144,655009,293717,654863,293701
AL3211,A47 between A17 and A1101 (AL3211),A17,A1101,560746,318659,547141,307807
AL3212,A47 between A141 and A1101 (AL3212),A141,A1101,539818,303003,547106,307817
AL3213,A47 between A1101 and A141 (AL3213),A1101,A141,547141,307807,539842,302994
AL3214A,A47 between A141 and A1073 (AL3214A),A141,A1073,539842,302994,522960,303125
AL3215A,A47 between A1073 and A141 (AL3215A),A1073,A141,522921,303135,539818,303003
AL3216,A47 between A15 and A1139 (AL3216),A15,A1139,519942,302254,521758,302650
AL3217,A47 between A1139 and A15 (AL3217),A1139,A15,521795,302659,520053,302304
AL3218,A47 between A1139 and A1073 (AL3218),A1139,A1073,521758,302650,522921,303135
AL3219,A47 between A1073 and A1139 (AL3219),A1073,A1139,522960,303125,521795,302659
AL3221,A47 between A1 and A1260 (AL3221),A1,A1260,507516,299755,515553,298535
AL3222,A47 between A1260 and A1 (AL3222),A1260,A1,515665,298574,507533,299739
AL3227,A43 between M1 J15A and A43 (AL3227),M1 J15A,A43,472094,257483,472739,257075
AL3228,A43 between A43 and M1 J15A (AL3228),A43,M1 J15A,472702,257046,472063,257323
AL3229,A5 between A45 and A43 (AL3229),A45,A43,463222,259842,468753,249549
AL3230,A5 between A43 and A45 (AL3230),A43,A45,468758,249491,463222,259842
AL3231,A5 between A508 and A43 (AL3231),A508,A43,477625,241486,468758,249491
AL3232,A5 between A45 and A361 (AL3232),A45,A361,463222,259842,456472,270987
AL3233,A5 between A361 and A45 (AL3233),A361,A45,456460,271028,463222,259842
AL3234,A5 between A428-W and A5 (AL3234),A428-W,A5,456501,273037,456606,273648
AL3235,A5 between A361 and A428 (AL3235),A361,A428,456472,270987,456501,273037
AL3236,A5 between A428 and A361 (AL3236),A428,A361,456529,273068,456460,271028
AL3237A,A5 between A5 and A428-W (AL3237A),A5,A428-W,456626,273698,456529,273068
AL3237B,A5 between A5 and A428-E (AL3237B),A5,A428-E,456626,273698,457172,273029
AL3238,A5 between A5 and A426 (AL3238),A5,A426,456606,273648,452799,280726
AL3239,A5 between A426 and A5 (AL3239),A426,A5,452795,280792,456626,273698
AL324,A47 between A15 and A15 (AL324),A15,A15,517756,301459,519942,302254
AL3240,A14 between M1 J19 and A5199 (AL3240),M1 J19,A5199,456172,278969,465984,278045
AL3241,A14 between A5199 and M1 J19 (AL3241),A5199,M1 J19,465990,278033,456159,278959
AL3242,A5 between A4303 and A426 (AL3242),A4303,A426,450814,283979,452795,280792
AL3243,A5 between A426 and A4303 (AL3243),A426,A4303,452799,280726,450824,283899
AL3245,A5 between A47 and M69 J1 (AL3245),A47,M69 J1,439931,293111,443378,291072
AL3246,A5 between A47 and A47 (AL3246),A47,A47,439420,293395,439931,293111
AL3247,A5 between A4303 and M69 J1 (AL3247),A4303,M69 J1,450824,283899,443462,290899
AL3248,A5 between M69 J1 and A4303 (AL3248),M69 J1,A4303,443378,291072,450814,283979
AL3249,A5 between M69 J1 and A47 (AL3249),M69 J1,A47,443462,290899,439982,293058
AL3250,A5 between A47 and A47 (AL3250),A47,A47,439982,293058,439420,293395
AL3251,A5 between A47 and A444 (AL3251),A47,A444,439420,293395,435117,295763
AL3252,A5 between A444 and A47 (AL3252),A444,A47,435123,295776,439420,293395
AL3253,A5 between A444 and M42 J10 (AL3253),A444,M42 J10,435117,295763,424298,300570
AL3254,A5 between M42 J10 and A444 (AL3254),M42 J10,A444,424443,300763,435123,295776
AL3267,A5 between A449 and M6 J12 (AL3267),A449,M6 J12,391196,310599,393087,310255
AL3268,A5 between M6 J12 and A449 (AL3268),M6 J12,A449,393136,310070,391222,310600
AL327,A47 between A1260 and A15 (AL327),A1260,A15,515553,298535,517756,301459
AL3272,A446 between A446 and M6 J4 (AL3272),A446,M6 J4,420156,285451,419914,286590
AL3275,A45 between A14 and A6 (AL3275),A14,A6,500602,278087,496001,270002
AL3276,A45 between A6 and A14 (AL3276),A6,A14,495930,269983,500520,278062
AL329,A47 between A15 and A1260 (AL329),A15,A1260,517859,301497,515665,298574
AL3295,A453 between A52 and A50 (AL3295),A52,A50,456305,336500,447654,327653
AL3296,A453 between A50 and A52 (AL3296),A50,A52,447422,327556,456006,337040
AL3297,A52 between A453 and A453 (AL3297),A453,A453,456315,336433,455916,337218
AL3298,A52 between A453 and A453 (AL3298),A453,A453,455927,337224,456305,336500
AL3299,A52 between A453 and A60 (AL3299),A453,A60,456305,336500,457618,334804
AL330,A1 between A6118 and A47 (AL330),A6118,A47,507839,298950,507520,299740
AL3300,A52 between A60 and A453 (AL3300),A60,A453,457675,334761,456315,336433
