LinkRef,LinkDescription,StartJunction,EndJunction,StartX,StartY,EndX,EndY
AL142,A45 between A423 and A46 (AL142),A423,A46,437081,275193,436468,275667
AL1421,A1 between A1(M) J38 and A639 (AL1421),A1(M) J38,A639,452221,409337,451031,413669
AL1423,A1 between A639 and A1(M) J38 (AL1423),A639,A1(M) J38,451054,413669,452240,409328
AL1432A,A64 between A659 and A162 (AL1432A),A659,A162,445618,441291,448381,442337
AL1432B,A64 between A162 and A659 (AL1432B),A162,A659,448381,442337,450325,444099
AL1433A,A64 between A162 and A659 (AL1433A),A162,A659,448386,442327,445620,441277
AL1433B,A64 between A659 and A162 (AL1433B),A659,A162,450401,444094,448386,442327
AL1436,A64 between A659 and A1237 (AL1436),A659,A1237,450325,444099,455769,447422
AL1437,A64 between A1237 and A659 (AL1437),A1237,A659,455737,447402,450401,444094
AL1439,A64 between A1036 and A1237 (AL1439),A1036,A1237,458059,447913,455737,447402
AL1441,A64 between A1237 and A1036 (AL1441),A1237,A1036,455769,447422,458044,447923
AL1451,A64 between A19 and A1036 (AL1451),A19,A1036,461390,448061,458059,447913
AL1452,A64 between A1036 and A19 (AL1452),A1036,A19,458044,447923,461383,448075
AL1454,A64 between A1(M) J45 and A659 (AL1454),A1(M) J45,A659,443090,440215,445618,441291
AL1455,A64 between A659 and A1(M) J45 (AL1455),A659,A1(M) J45,445620,441277,443111,440086
AL1456,A1 between A659 and A1(M) J45 (AL1456),A659,A1(M) J45,440944,445792,443101,440626
AL1457,A1 between A1(M) J45 and A659 (AL1457),A1(M) J45,A659,443076,440628,440992,445678
AL1458,A1 between A659 and A661 (AL1458),A659,A661,440992,445678,440469,447067
AL1459,A1 between A661 and A659 (AL1459),A661,A659,440485,447020,440944,445792
AL1460,A1 between A661 and A58 (AL1460),A661,A58,440469,447067,441045,447912
AL1461,A1 between A58 and A661 (AL1461),A58,A661,441060,447907,440485,447020
AL1464A,A1 between A1(M) and A58 (AL1464A),A1(M),A58,441812,453625,441060,447907
AL1465A,A1 between A58 and A1(M) (AL1465A),A58,A1(M),441045,447912,441793,453625
AL1467,A168 between A167 and A170 (AL1467),A167,A170,440589,476108,444041,481854
AL1470,A168 between A170 and A167 (AL1470),A170,A167,444050,481804,440606,476112
AL1473,A168 between A167 and A1(M) J49 (AL1473),A167,A1(M) J49,440606,476112,437487,473190
AL1476,A1 between A61 and A1(M) J49 (AL1476),A61,A1(M) J49,435487,476288,436789,473085
AL1478,A1 between A1(M) J49 and A61 (AL1478),A1(M) J49,A61,436775,473068,435479,476272
AL148,A5 between A5 and M1 J18 (AL148),A5,M1 J18,457172,273029,457611,272883
AL1482,A1 between A61 and A684 (AL1482),A61,A684,435479,476272,428260,489529
AL1483,A1 between A684 and A61 (AL1483),A684,A61,428270,489539,435487,476288
AL1485,A1 between A684 and A6136 (AL1485),A684,A6136,428260,489529,423933,497315
